Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam30.xml,['Adam'],make|makes|making|maked,['P3Y5M1D'],I want make what I want,,,,,0,?,,
Brown,adam30.xml,['Adam'],make|makes|making|maked,['P3Y5M1D'],where I should put it when I make it up,,,,,0,,,
Brown,adam31.xml,['Adam'],make|makes|making|maked,['P3Y5M15D'],don't cha you make a bed,bed,event,bed,event,event,?,,
Brown,adam31.xml,['Adam'],make|makes|making|maked,['P3Y5M15D'],wait til we might make him sick,sick,event,sick,event,event,,,
Brown,adam31.xml,['Adam'],make|makes|making|maked,['P3Y5M15D'],I forgot to make a sailboat,sailboat,object,sailboat,object,object,,,
Brown,adam31.xml,['Adam'],make|makes|making|maked,['P3Y5M15D'],I gonna make a train,train,object,train,object,object,,,
Brown,adam31.xml,['Adam'],make|makes|making|maked,['P3Y5M15D'],I make just like you,,,,,0,?,,
Brown,adam31.xml,['Adam'],make|makes|making|maked,['P3Y5M15D'],I make it just like you,,,,,0,,,
Brown,adam31.xml,['Adam'],make|makes|making|maked,['P3Y5M15D'],know what I maked made,,,,,0,?,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],did they make a mistake,mistake,event,mistake,event,event,,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],did I make mistake,mistake,event,mistake,event,event,,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],I mean make another airplane,airplane,object,airplane,object,object,,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],wan  make a building for you,building,object,building,object,object,,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],now I goin to make a fish,fish,object,fish,object,object,,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],I want to make a street light too,light,object,streetlight,object,object,,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],and I want to make a small one,one,pronoun,one,pronoun,pronoun,,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],no don't make a,,,a,,0,?,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],look what I make across,,,,,0,?,,
Brown,adam32.xml,['Adam'],make|makes|making|maked,['P3Y5M29D'],dat's that's make it fly,,,,,0,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],and make a and go to work,a ,object,a ,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],I goin make flowers,flower,object,flowers,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],so de the tractor can make flowers,flower,object,flowers,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],we goin make a garage to park the truck in,garage,object,garage,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],I make h,h,object,h,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],they gonna make houses,house,object,house,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],and dey they make houses,house,object,house,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],dey they make your house for the truck,house,object,house,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],I make my house for the truck,house,object,house,object,object,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],I goin make one for myself,one,pronoun,one,pronoun,pronoun,,,
